fullAPCname,binomialAPCname,binomialPOWOname,POWOinfra,taxonRank
Hypolepis glandulifera,Hypolepis glandulifera,Hypolepis resistens,,SPECIES
Eriochiton sclerolaenoides,Eriochiton sclerolaenoides,Maireana sclerolaenoides,,SPECIES
Paspalidium constrictum,Paspalidium constrictum,Setaria constricta,,SPECIES
Pimelea neo-anglica,Pimelea neo-anglica,Pimelea neoanglica,,SPECIES
Ophioglossum pendulum,Ophioglossum pendulum,Ophioderma pendulum,,SPECIES
Leucopogon margarodes,Leucopogon margarodes,Styphelia margarodes,,SPECIES
Leucopogon setiger,Leucopogon setiger,Styphelia setigera,,SPECIES
Actites megalocarpus,Actites megalocarpus,Sonchus megalocarpus,,SPECIES
Blechnum rupestre,Blechnum rupestre,Doodia caudata,,SPECIES
Prostanthera serpyllifolia subsp. microphylla,Prostanthera serpyllifolia,Prostanthera microphylla,microphylla,SUBSPECIES
Boronia nana var. hyssopifolia,Boronia nana,Cyanothamnus nanus,hyssopifolia,VARIETY
Urochloa mosambicensis,Urochloa mosambicensis,Urochloa trichopus,,SPECIES
Acianthus apprimus,Acianthus apprimus,Acianthus fornicatus,,SPECIES
Caladenia alpina,Caladenia alpina,Caladenia lyallii,,SPECIES
Gmelina leichhardtii,Gmelina leichhardtii,Gmelina leichardtii,,SPECIES
Cynanchum elegans,Cynanchum elegans,Vincetoxicum elegans,,SPECIES
Melastoma affine,Melastoma affine,Melastoma malabathricum,,SPECIES
Leucopogon fraseri,Leucopogon fraseri,Styphelia nesophila,,SPECIES
Solanum nodiflorum,Solanum nodiflorum,Solanum americanum,,SPECIES
Euphorbia planitiicola,Euphorbia planitiicola,Euphorbia planiticola,,SPECIES
Bryophyllum delagoense,Bryophyllum delagoense,Kalanchoe delagoensis,,SPECIES
Psychrophila introloba,Psychrophila introloba,Caltha introloba,,SPECIES
Diuris dendrobioides,Diuris dendrobioides,Diuris punctata,,SPECIES
Symplocos baeuerlenii,Symplocos baeuerlenii,Symplocos wooroonooran,,SPECIES
Cyathea macarthurii,Cyathea macarthurii,Alsophila ferdinandii,,SPECIES
Blechnum ambiguum,Blechnum ambiguum,Parablechnum ambiguum,,SPECIES
Disphyma crassifolium subsp. clavellatum,Disphyma crassifolium,Disphyma clavellatum,clavellatum,SUBSPECIES
Leucopogon fletcheri subsp. brevisepalus,Leucopogon fletcheri,Styphelia fletcheri,brevisepalus,SUBSPECIES
Deyeuxia parviseta,Deyeuxia parviseta,Calamagrostis parviseta,,SPECIES
Tasmannia purpurascens,Tasmannia purpurascens,Drimys purpurascens,,SPECIES
Oreomyrrhis argentea,Oreomyrrhis argentea,Chaerophyllum argenteum,,SPECIES
Solanum amblymerum,Solanum amblymerum,Solanum elegans,,SPECIES
Colobanthus pulvinatus,Colobanthus pulvinatus,Colobanthus subulatus,,SPECIES
