taxon_name,aus_native
Acacia leucoclada,TRUE
Acacia leucoclada subsp. argentifolia,TRUE
Acacia leucoclada subsp. leucoclada,TRUE
Acacia leucolobia,TRUE
Acacia pendula,TRUE
Acacia levata,TRUE
Acacia ligulata,TRUE
Acacia ligustrina,TRUE
Acacia limbata,TRUE
Acacia linarioides,TRUE
Acacia linearifolia,TRUE
Acacia linifolia,TRUE
Acacia lineata,TRUE
Acacia lineolata,TRUE
Acacia lineolata subsp. lineolata,TRUE
Acacia linifolia,TRUE
Acacia lirellata,TRUE
Acacia lirellata subsp. compressa,TRUE
Acacia littorea,TRUE
Acacia lobulata,TRUE
Acacia loderi,TRUE
Acacia longifolia,TRUE
Acacia longifolia subsp. longifolia,TRUE
Acacia longifolia subsp. sophorae,TRUE
Acacia longipedunculata,TRUE
Acacia longiphyllodinea,TRUE
Acacia longispicata,TRUE
Acacia longispinea,TRUE
Acacia longissima,TRUE
Acacia loroloba,TRUE
Acacia loxophylla,TRUE
Acacia lucasii,TRUE
Acacia lullfitziorum,TRUE
Acacia lumholtzii,TRUE
Acacia lunata,TRUE
Acacia luteola,TRUE
Acacia lycopodiifolia,TRUE
Acacia lysiphloia,TRUE
Acacia lysiphloia x Acacia monticola,TRUE
